100.7.0.0
Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
3;GeocacheBasis;32;32
4;GeocacheBasis;37;37
5;GeocacheBasis;31;31
6;GeocacheBasis;23;23
7;GeocacheBasis;13;13
8;GeocacheBasis;9;9
9;GeocacheBasis;17;17
12;GeocacheBasis;9;9
Sum tiles between LoD 3 -> 12:;;;171
Duration drawing:;;;00:00:04.670579

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
11;GeocacheBasis;4;4
Sum tiles between LoD 11 -> 11:;;;4
Duration drawing:;;;00:00:04.150756

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
11;GeocacheBasis;22;22
12;GeocacheBasis;1;1
13;GeocacheBasis;2;2
15;GeocacheBasis;29;29
16;GeocacheBasis;21;21
Sum tiles between LoD 11 -> 16:;;;75
Duration drawing:;;;00:00:09.567596

Zoom Extent; Number; 3;
261813, 6645050;261813, 6654888;277532, 6654888;277532, 6645050
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
13;GeocacheBasis;1;1
14;GeocacheBasis;14;14
Sum tiles between LoD 13 -> 14:;;;15
Duration drawing:;;;00:00:05.315638

Zoom Extent; Number; 4;
265410, 6648252;265410, 6648862;266462, 6648862;266462, 6648252
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
12;GeocacheBasis;12;12
13;GeocacheBasis;26;26
14;GeocacheBasis;22;22
15;GeocacheBasis;30;30
Sum tiles between LoD 12 -> 15:;;;90
Duration drawing:;;;00:00:05.449937

Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
13;GeocacheBasis;1;1
14;GeocacheBasis;15;15
Sum tiles between LoD 13 -> 14:;;;16
Duration drawing:;;;00:00:03.831545

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
11;GeocacheBasis;2;2
Sum tiles between LoD 11 -> 11:;;;2
Duration drawing:;;;00:00:03.998372

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
11;GeocacheBasis;1;1
12;GeocacheBasis;2;2
14;GeocacheBasis;14;14
15;GeocacheBasis;20;20
16;GeocacheBasis;8;8
Sum tiles between LoD 11 -> 16:;;;45
Duration drawing:;;;00:00:09.994567

Zoom Extent; Number; 3;
261813, 6645050;261813, 6654888;277532, 6654888;277532, 6645050
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
13;GeocacheBasis;9;9
14;GeocacheBasis;23;23
Sum tiles between LoD 13 -> 14:;;;32
Duration drawing:;;;00:00:05.822828

Zoom Extent; Number; 4;
265410, 6648252;265410, 6648862;266462, 6648862;266462, 6648252
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
13;GeocacheBasis;1;1
14;GeocacheBasis;22;22
15;GeocacheBasis;1;1
Sum tiles between LoD 13 -> 15:;;;24
Duration drawing:;;;00:00:05.882305

Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
13;GeocacheBasis;1;1
14;GeocacheBasis;16;16
Sum tiles between LoD 13 -> 14:;;;17
Duration drawing:;;;00:00:03.834597

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
11;GeocacheBasis;3;3
Sum tiles between LoD 11 -> 11:;;;3
Duration drawing:;;;00:00:03.965227

