Zoom Extent;;;
223062 6635196;223062 6673404;283568 6635196;283568 6673404
Level;Layer;Tiles;Total Tiles
2;GeocacheBasis;25;25
3;GeocacheBasis;6;6
4;GeocacheBasis;4;4
5;GeocacheBasis;11;11
6;GeocacheBasis;10;10
7;GeocacheBasis;8;8
8;GeocacheBasis;11;11
9;GeocacheBasis;13;13
10;GeocacheBasis;16;16
11;GeocacheBasis;42;42
Sum:;146;tiles between LoD 2 -> 11;
Duration:;00:00:01.360312;;

Zoom Extent;;;
261914 6649447;261914 6649769;262406 6649769;262406 6649447
Level;Layer;Tiles;Total Tiles
7;GeocacheBasis;8;8
8;GeocacheBasis;30;30
9;GeocacheBasis;51;51
Sum:;89;tiles between LoD 7 -> 9;
Duration:;00:00:02.097962;;

Zoom Extent;;;
261813 6645050;261813 6654888;277532 6654888;277532 6645050
Level;Layer;Tiles;Total Tiles
9;GeocacheBasis;8;8
10;GeocacheBasis;13;13
12;GeocacheBasis;27;27
13;GeocacheBasis;27;27
14;GeocacheBasis;16;16
15;GeocacheBasis;41;41
Sum:;132;tiles between LoD 9 -> 15;
Duration:;00:00:03.168065;;

Zoom Extent;;;
265410 6648252;265410 6648862;266462 6648862;266462 6648252
Level;Layer;Tiles;Total Tiles
10;GeocacheBasis;16;16
11;GeocacheBasis;5;5
Sum:;21;tiles between LoD 10 -> 11;
Duration:;00:00:01.096096;;

