100.8.0.0
Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
2;GeocacheBasis;25;25
3;GeocacheBasis;32;32
4;GeocacheBasis;14;14
5;GeocacheBasis;18;18
6;GeocacheBasis;4;4
7;GeocacheBasis;4;4
8;GeocacheBasis;9;9
9;GeocacheBasis;10;10
10;GeocacheBasis;17;17
11;GeocacheBasis;42;42
Sum tiles between LoD 2 -> 11:;;;175
Duration drawing:;;;00:00:01.335835

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
6;GeocacheBasis;4;4
7;GeocacheBasis;8;8
8;GeocacheBasis;29;29
9;GeocacheBasis;24;24
Sum tiles between LoD 6 -> 9:;;;65
Duration drawing:;;;00:00:02.099650

